Index,X,Y,Z
0,990,1556,-0.023958930745720863
1,1005,1485,-0.08031164109706879
2,1001,1500,-0.03754878044128418
3,981,1370,-0.07193005084991455
4,1006,1453,-0.08819300681352615
5,1006,1407,-0.08638374507427216
6,1005,1291,-0.05872000753879547
7,794,1260,-0.006758029572665691
8,1006,1215,-0.05622539296746254
9,1008,1173,-0.06409726291894913
10,1010,1004,-0.06797755509614944
11,990,1563,-0.020541569218039513
12,989,1568,-0.015680352225899696
13,989,1572,-0.008821610361337662
14,988,1615,1.767584035405889e-05
15,988,1627,-0.001381215755827725
16,988,1641,-0.003792117116972804
17,988,1657,-0.0007317782728932798
18,992,1673,0.013343241065740585
19,1003,1498,-0.07126647979021072
20,970,1490,-0.0511031411588192
21,672,1123,0.04156875237822533
22,880,1288,-0.016646496951580048
23,849,1290,-0.016408395022153854
24,820,1288,-0.013533483259379864
25,781,1268,-0.00337648531422019
26,906,1282,-0.014872931875288486
27,833,1209,-0.029689213261008263
28,869,1213,-0.028477242216467857
29,802,1213,-0.025186851620674133
30,782,1223,-0.01896977424621582
31,755,1283,0.005509680137038231
32,883,1706,0.03696561977267265
33,782,1251,-0.002878656378015876
34,663,1258,0.06563302129507065
35,720,1259,0.016535291448235512
36,845,1415,-0.0164627805352211
37,942,1547,-0.02427041344344616
38,944,1562,-0.014210636727511883
39,899,1544,-0.014648422598838806
40,870,1541,0.0005374613683670759
41,907,1555,-0.007182628381997347
42,879,1549,0.006125243380665779
43,840,1579,0.03392982855439186
44,979,1483,-0.07975313812494278
45,977,1451,-0.08729326725006104
46,741,1200,-0.021464763209223747
47,914,1345,-0.02553083933889866
48,902,1450,-0.04610796645283699
49,901,1430,-0.04303492233157158
50,754,1398,-0.0004011558194179088
51,979,1408,-0.08270695060491562
52,816,1181,-0.04726171866059303
53,772,1185,-0.0366082638502121
54,703,1074,0.007866933941841125
55,947,1220,-0.05414372310042381
56,899,1227,-0.022388730198144913
57,815,1542,0.03149743750691414
58,694,1536,0.14206072688102722
59,922,1470,-0.03784501552581787
60,947,1481,-0.03653363138437271
61,828,1540,0.03301567584276199
62,836,1543,0.030002133920788765
63,756,1164,-0.032575979828834534
64,897,1456,-0.03619646653532982
65,874,1192,-0.05348427593708038
66,871,1168,-0.060129787772893906
67,833,1013,-0.051939282566308975
68,730,1116,-0.015316675417125225
69,854,1081,-0.05726037919521332
70,723,1182,-0.011675401590764523
71,697,1155,0.013398665003478527
72,942,1556,-0.020369620993733406
73,903,1550,-0.010764104314148426
74,874,1545,0.0025810226798057556
75,927,1474,-0.03388733044266701
76,832,1541,0.03146424517035484
77,851,1569,0.025354130193591118
78,839,1545,0.029668815433979034
79,942,1472,-0.060138821601867676
80,883,1553,0.008711639791727066
81,912,1559,-0.000821090186946094
82,947,1566,-0.00753050995990634
83,946,1669,0.01408038754016161
84,941,1651,-8.687042281962931e-05
85,942,1636,-0.0027378369122743607
86,945,1622,-0.00010196190851274878
87,948,1611,0.0013248678296804428
88,885,1584,0.015532108023762703
89,880,1588,0.014102857559919357
90,873,1595,0.013352357782423496
91,869,1604,0.01692955195903778
92,854,1514,8.439387602265924e-05
93,659,1383,0.14192070066928864
94,1002,1500,-0.049991585314273834
95,865,1567,0.02475990168750286
96,858,1567,0.024329010397195816
97,957,1492,-0.034475281834602356
98,904,1469,-0.022012237459421158
99,952,1487,-0.03624657541513443
100,881,1357,-0.01928318291902542
101,830,1372,-0.014637586660683155
102,893,1438,-0.03305990993976593
103,755,1036,-0.024433663114905357
104,780,1090,-0.03823639079928398
105,808,1157,-0.04839222505688667
106,868,1614,0.027953701093792915
107,940,1183,-0.06442032009363174
108,927,1082,-0.0663795918226242
109,915,1003,-0.06615908443927765
110,795,1281,-0.008293554186820984
111,723,1299,0.015171696431934834
112,923,1277,-0.01356357242912054
113,752,1232,-0.007199652958661318
114,936,1330,-0.032373324036598206
115,925,1449,-0.06169455498456955
116,690,1319,0.033345408737659454
117,744,1322,0.0052435449324548244
118,783,1337,-0.0056274402886629105
119,840,1337,-0.011323004961013794
120,882,1328,-0.014594737440347672
121,913,1318,-0.019493574276566505
122,977,1297,-0.0530490018427372
123,690,1380,0.03714817762374878
124,728,1226,-0.0025920800399035215
125,988,1496,-0.07092271745204926
126,913,1378,-0.028613006696105003
127,650,1245,0.11198720335960388
128,937,1306,-0.023345747962594032
129,888,1434,-0.017235012724995613
130,769,1252,-5.8424408052815124e-05
131,924,1424,-0.057947494089603424
132,672,1458,0.14532941579818726
133,922,1267,-0.011538154445588589
134,952,1414,-0.0735277533531189
135,761,1615,0.08031351864337921
136,767,1649,0.10764140635728836
137,665,1386,0.08953876793384552
138,721,1573,0.09017140418291092
139,679,1201,0.0427713617682457
140,881,1735,0.04793315753340721
141,989,1499,-0.04935808107256889
142,884,1394,-0.02122674137353897
143,693,1259,0.03057919442653656
144,824,1272,-0.013768711127340794
145,850,1274,-0.01647244207561016
146,846,1572,0.027960360050201416
147,691,1441,0.05067307502031326
148,932,1777,0.05549070984125137
149,850,1728,0.0786844789981842
150,813,1695,0.0920172929763794
151,1009,1086,-0.06755247712135315
152,988,1783,0.05379350855946541
153,876,1272,-0.016557812690734863
154,901,1268,-0.01433749869465828
155,916,1268,-0.0116824209690094
156,706,1214,0.010366152040660381
157,892,1244,-0.01909276656806469
158,865,1234,-0.022918494418263435
159,838,1232,-0.02318444289267063
160,813,1236,-0.01985822059214115
161,798,1242,-0.014844833873212337
162,656,1177,0.0789959579706192
163,806,1267,-0.010044929571449757
164,1000,1517,-0.029590530321002007
165,890,1508,-0.013570970855653286
166,924,1469,-0.04473533853888512
167,952,1514,-0.028710708022117615
168,1005,1250,-0.05215492099523544
169,803,1660,0.07352280616760254
170,842,1697,0.06220416724681854
171,931,1760,0.03634248301386833
172,729,1600,0.12612766027450562
173,912,1258,-0.014829855412244797
174,957,1348,-0.05200318619608879
175,990,1766,0.03521058335900307
176,888,1758,0.0641687661409378
177,674,1453,0.09649670869112015
178,914,1599,0.007323101162910461
179,908,1607,0.005895241629332304
180,904,1619,0.004744519013911486
181,901,1633,0.008104921318590641
182,902,1646,0.01991206407546997
183,854,1545,0.018573084846138954
184,849,1543,0.018434016034007072
185,846,1540,0.01732531748712063
186,826,1524,0.015608148649334908
187,725,1461,0.02403203956782818
188,957,1312,-0.04173305258154869
189,943,1252,-0.023135708644986153
190,925,1251,-0.01797521859407425
191,859,1548,0.02016814611852169
192,724,1531,0.057444266974925995
193,970,1257,-0.04249851033091545
194,893,1673,0.028924494981765747
195,1006,1367,-0.0763901099562645
196,979,1335,-0.06410568207502365
197,1005,1331,-0.06721141934394836
198,933,1393,-0.04737713187932968
199,991,1739,0.023973306640982628
200,992,1703,0.018941232934594154
201,940,1698,0.021143650636076927
202,824,1595,0.04133932292461395
203,862,1454,-0.010463634505867958
204,856,1638,0.03702852874994278
205,792,1445,-0.006516636349260807
206,831,1479,-0.001449336064979434
207,764,1486,0.013157428242266178
208,933,1733,0.025854751467704773
209,912,1404,-0.03486945480108261
210,807,1623,0.05501396954059601
211,846,1665,0.049026500433683395
212,797,1552,0.03526465222239494
213,698,1493,0.06371673196554184
214,764,1562,0.0467701181769371
215,691,1516,0.09993893653154373
216,802,1505,0.012158533558249474
217,936,1363,-0.03938750550150871
218,934,1466,-0.06394204497337341
219,911,1463,-0.04638589173555374
220,950,1450,-0.07557753473520279
221,920,1229,-0.03063727542757988
222,871,1207,-0.03598405420780182
223,827,1201,-0.03607252985239029
224,791,1204,-0.030353814363479614
225,765,1214,-0.021098824217915535
226,748,1256,0.005926006007939577
227,661,1322,0.07833468914031982
228,772,1297,-1.5709381841588765e-05
229,804,1308,-0.007004007697105408
230,844,1311,-0.011646488681435585
231,882,1306,-0.013878143392503262
232,911,1298,-0.015002753585577011
233,931,1292,-0.016484752297401428
234,653,1313,0.13149522244930267
235,908,1466,-0.038137372583150864
236,957,1380,-0.060721106827259064
237,957,1475,-0.07410299777984619
238,970,1488,-0.06560998409986496
239,955,1478,-0.06648645550012589
240,914,1472,-0.031350456178188324
241,977,1493,-0.0690368264913559
242,978,1495,-0.05016485974192619
243,932,1270,-0.01308278739452362
244,946,1279,-0.020508304238319397
245,955,1288,-0.030018627643585205
246,789,1247,-0.009649006649851799
247,769,1235,-0.00993498507887125
248,1029,1371,-0.06994884461164474
249,1198,1268,0.007334411609917879
250,1034,1490,-0.04955653101205826
251,1307,1137,0.06389010697603226
252,1118,1298,-0.007566527463495731
253,1147,1299,-0.005477489437907934
254,1175,1296,-0.0009310490568168461
255,1210,1277,0.011477045714855194
256,1093,1292,-0.0077152312733232975
257,1163,1216,-0.018100913614034653
258,1129,1220,-0.019346145913004875
259,1193,1220,-0.011866999790072441
260,1211,1231,-0.004667103290557861
261,1234,1293,0.02152552828192711
262,1096,1707,0.043492283672094345
263,1208,1259,0.011833450756967068
264,1315,1271,0.08733928203582764
265,1266,1271,0.034542981535196304
266,1150,1420,-0.006975268479436636
267,1038,1546,-0.021760642528533936
268,1035,1561,-0.011870852671563625
269,1079,1541,-0.009475929662585258
270,1107,1538,0.00764984916895628
271,1071,1552,-0.002668447559699416
272,1099,1546,0.012198920361697674
273,1140,1581,0.04276375472545624
274,1030,1484,-0.0785054937005043
275,1033,1452,-0.0858108252286911
276,1254,1206,-0.004585690796375275
277,1086,1348,-0.01934901252388954
278,1100,1452,-0.040276531130075455
279,1100,1432,-0.03703181818127632
280,1237,1405,0.014810621738433838
281,1031,1409,-0.08079836517572403
282,1187,1185,-0.03548422455787659
283,1227,1190,-0.022021964192390442
284,1285,1088,0.027807220816612244
285,1061,1224,-0.05018622428178787
286,1100,1234,-0.014976785518229008
287,1167,1545,0.04225609824061394
288,1265,1544,0.16314329206943512
289,1079,1471,-0.03365913778543472
290,1055,1482,-0.03441506251692772
291,1148,1533,0.04243968799710274
292,1140,1537,0.038435470312833786
293,1243,1168,-0.01698901876807213
294,1102,1459,-0.03048035316169262
295,1131,1196,-0.045438673347234726
296,1136,1171,-0.0517958328127861
297,1178,1022,-0.04056932404637337
298,1267,1128,0.0018800152465701103
299,1160,1089,-0.047694988548755646
300,1270,1190,0.006349604576826096
301,1291,1167,0.03291715681552887
302,1036,1555,-0.0178841520100832
303,1075,1547,-0.005937480833381414
304,1103,1542,0.009092787280678749
305,1073,1475,-0.03037836402654648
306,1144,1535,0.04025424271821976
307,1124,1563,0.03287610039114952
308,1137,1539,0.037899378687143326
309,1063,1473,-0.056173551827669144
310,1094,1549,0.014511295594274998
311,1067,1556,0.003498345846310258
312,1032,1565,-0.005110297352075577
313,1037,1669,0.01633409783244133
314,1034,1650,0.002480641473084688
315,1033,1635,-1.5857989637879655e-05
316,1032,1620,0.002535545499995351
317,1029,1609,0.003824175801128149
318,1091,1580,0.02139013446867466
319,1096,1584,0.020012257620692253
320,1102,1591,0.019473979249596596
321,1106,1600,0.02343061938881874
322,1136,1518,0.008215630427002907
323,1302,1394,0.16513431072235107
324,1111,1563,0.03201531991362572
325,1118,1562,0.03159736096858978
326,1044,1494,-0.03236265107989311
327,1094,1472,-0.017458908259868622
328,1049,1488,-0.03420150279998779
329,1116,1361,-0.011049079708755016
330,1166,1377,-0.003703370224684477
331,1106,1441,-0.02684302255511284
332,1245,1048,-0.00814125593751669
333,1225,1101,-0.024345871061086655
334,1196,1160,-0.03597297891974449
335,1113,1616,0.03533108904957771
336,1070,1187,-0.06027977913618088
337,1090,1086,-0.061363860964775085
338,1103,1008,-0.06038286164402962
339,1197,1289,0.005729752127081156
340,1264,1310,0.03293917700648308
341,1077,1287,-0.007176147308200598
342,1239,1241,0.00904078595340252
343,1067,1332,-0.027497224509716034
344,1081,1451,-0.05697387829422951
345,1294,1330,0.053338926285505295
346,1245,1332,0.02202998474240303
347,1210,1345,0.008701463229954243
348,1157,1344,-0.0003485847555566579
349,1117,1335,-0.006165719125419855
350,1087,1324,-0.01313405204564333
351,1032,1298,-0.051036328077316284
352,1292,1390,0.05709102377295494
353,1261,1235,0.015231904573738575
354,1019,1496,-0.06989947706460953
355,1087,1381,-0.022513549774885178
356,1318,1258,0.1360032558441162
357,1066,1312,-0.01843990758061409
358,1108,1437,-0.010887864045798779
359,1220,1260,0.01534027699381113
360,1080,1426,-0.05310630053281784
361,1288,1468,0.16763456165790558
362,1077,1277,-0.004825038835406303
363,1056,1415,-0.07008830457925797
364,1210,1620,0.09514498710632324
365,1198,1653,0.12354405969381332
366,1308,1397,0.11123865842819214
367,1248,1579,0.10762108862400055
368,1304,1214,0.06363371014595032
369,1096,1736,0.05496162176132202
370,1015,1499,-0.04872428998351097
371,1114,1398,-0.01376916654407978
372,1290,1273,0.05030645430088043
373,1171,1281,-0.0013872425770387053
374,1147,1284,-0.005559422075748444
375,1129,1566,0.03592288866639137
376,1288,1450,0.07008852809667587
377,1043,1777,0.05961379408836365
378,1121,1729,0.08888101577758789
379,1155,1696,0.10488510876893997
380,1122,1283,-0.0072936322540044785
381,1099,1280,-0.006402360741049051
382,1084,1278,-0.0045476933009922504
383,1281,1225,0.02962525561451912
384,1106,1252,-0.010799294337630272
385,1132,1241,-0.01326772104948759
386,1157,1239,-0.011952657252550125
387,1181,1243,-0.007145213428884745
388,1195,1250,-0.001222963910549879
389,1317,1190,0.10251878947019577
390,1187,1275,0.0033663848880678415
391,1104,1511,-0.0073221898637712
392,1078,1470,-0.0406205877661705
393,1046,1515,-0.02613360993564129
394,1169,1663,0.08552369475364685
395,1132,1699,0.07165511697530746
396,1048,1761,0.040070436894893646
397,1233,1606,0.14490266144275665
398,1086,1267,-0.00745880464091897
399,1050,1349,-0.048671357333660126
400,1085,1757,0.07168802618980408
401,1296,1463,0.11746253073215485
402,1063,1596,0.01178340706974268
403,1068,1604,0.010491615161299706
404,1072,1616,0.00957409292459488
405,1074,1631,0.01308063231408596
406,1081,1647,0.025347363203763962
407,1122,1541,0.02602594904601574
408,1127,1537,0.026553981006145477
409,1131,1535,0.025915108621120453
410,1159,1528,0.02567446418106556
411,1259,1469,0.04049993306398392
412,1049,1314,-0.03834719955921173
413,1060,1258,-0.018648944795131683
414,1075,1259,-0.011609821580350399
415,1117,1544,0.02747233770787716
416,1252,1538,0.07407474517822266
417,1038,1261,-0.03973903879523277
418,1088,1674,0.03467434644699097
419,1031,1336,-0.06236883997917175
420,1070,1396,-0.042892925441265106
421,1042,1699,0.02382400631904602
422,1154,1598,0.051520127803087234
423,1131,1458,-0.0025922483764588833
424,1123,1639,0.04505396634340286
425,1200,1451,0.005521355662494898
426,1160,1484,0.008314001373946667
427,1222,1492,0.026893317699432373
428,1048,1734,0.029289942234754562
429,1088,1406,-0.02928348071873188
430,1169,1626,0.06654838472604752
431,1132,1667,0.05788009241223335
432,1184,1556,0.04761837422847748
433,1277,1501,0.08232002705335617
434,1214,1567,0.06085311248898506
435,1277,1524,0.11985760927200317
436,1184,1509,0.02358892932534218
437,1067,1365,-0.034574054181575775
438,1072,1468,-0.05966450273990631
439,1091,1465,-0.041496068239212036
440,1058,1452,-0.07232582569122314
441,1082,1234,-0.02458328939974308
442,1129,1213,-0.027244072407484055
443,1172,1206,-0.024757320061326027
444,1206,1210,-0.0166695024818182
445,1229,1221,-0.005778959020972252
446,1240,1265,0.022345371544361115
447,1314,1333,0.10052874684333801
448,1218,1307,0.015076933428645134
449,1190,1317,0.006157377269119024
450,1152,1320,-0.0007730105426162481
