Index,X,Y,Z
14,499,423,0.0016158900689333677
15,500,428,0.0015217254403978586
16,499,433,-0.000265516311628744
17,499,439,0.0029793621506541967
18,501,443,0.016818204894661903
32,451,455,0.038612671196460724
43,436,406,0.0308541227132082
83,481,441,0.01709652505815029
84,479,437,0.0031355114188045263
85,479,431,0.00027778424555435777
86,480,426,0.002278451807796955
87,482,421,0.002496885834261775
88,454,410,0.013720781542360783
89,452,412,0.013022920116782188
90,449,415,0.0124744838103652
91,447,418,0.01572146825492382
106,447,420,0.026301372796297073
135,395,418,0.07647109776735306
136,396,431,0.10347247123718262
140,448,468,0.049699924886226654
148,471,486,0.05925903096795082
149,432,465,0.07845539599657059
150,415,451,0.08970065414905548
152,498,489,0.05782337859272957
169,413,437,0.07071713358163834
170,430,452,0.06154258921742439
171,471,479,0.03994591534137726
172,380,409,0.1199258491396904
175,499,481,0.03908632695674896
176,450,477,0.06633856892585754
178,467,417,0.007195301353931427
179,464,420,0.006682513281702995
180,462,425,0.0057629686780273914
181,461,430,0.00890854001045227
182,462,432,0.020403189584612846
194,456,443,0.030039140954613686
199,500,469,0.02813359536230564
200,500,455,0.022988123819231987
201,478,453,0.024685481563210487
202,426,412,0.0387532040476799
204,440,429,0.03590449318289757
208,474,467,0.029668640345335007
210,416,422,0.05256129056215286
211,433,439,0.04845373332500458
262,546,455,0.04447126388549805
273,563,407,0.038887880742549896
313,519,441,0.019114991649985313
314,520,437,0.005426051560789347
315,519,431,0.002693264512345195
316,519,425,0.004633812233805656
317,517,420,0.004749951418489218
318,544,408,0.018990831449627876
319,547,409,0.018333954736590385
320,550,412,0.017941216006875038
321,551,415,0.021515147760510445
335,552,420,0.032971080392599106
364,599,418,0.08961275964975357
365,595,431,0.11674294620752335
369,548,468,0.05598684400320053
377,524,486,0.06274208426475525
378,561,464,0.08699870854616165
379,576,450,0.10047824680805206
394,581,437,0.08145398646593094
395,565,452,0.07000231742858887
396,525,479,0.04330671951174736
397,609,410,0.13569310307502747
400,544,477,0.0726158395409584
402,532,415,0.011210204102098942
403,534,418,0.010812804102897644
404,536,423,0.01006189826875925
405,537,428,0.01331772655248642
406,538,433,0.025297803804278374
418,542,443,0.035243917256593704
421,522,453,0.027080724015831947
422,572,412,0.047908153384923935
424,558,429,0.043112725019454956
428,525,467,0.03277275338768959
430,580,423,0.06290331482887268
431,563,439,0.056389715522527695
